"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000338010 (pp) 9606.ENSP00000499900","false","pp","9606.ENSP00000338010 (pp) 9606.ENSP00000499900","0.0","0.0","0.9","0.292","0.0",,"0.0","0.982","0.768"
"pp","9606.ENSP00000338010 (pp) 9606.ENSP00000432511","false","pp","9606.ENSP00000338010 (pp) 9606.ENSP00000432511","0.2","0.0","0.8","0.0","0.0",,"0.0","0.945","0.686"
"pp","9606.ENSP00000338010 (pp) 9606.ENSP00000379111","false","pp","9606.ENSP00000338010 (pp) 9606.ENSP00000379111","0.075","0.205","0.0","0.0","0.414",,"0.0","0.781","0.552"
"pp","9606.ENSP00000338010 (pp) 9606.ENSP00000386559","false","pp","9606.ENSP00000338010 (pp) 9606.ENSP00000386559","0.185","0.0","0.0","0.0","0.0",,"0.0","0.768","0.728"
"pp","9606.ENSP00000338010 (pp) 9606.ENSP00000431885","false","pp","9606.ENSP00000338010 (pp) 9606.ENSP00000431885","0.0","0.0","0.65","0.0","0.0",,"0.0","0.733","0.27"
"pp","9606.ENSP00000338010 (pp) 9606.ENSP00000371067","false","pp","9606.ENSP00000338010 (pp) 9606.ENSP00000371067","0.049","0.0","0.65","0.0","0.0",,"0.0","0.731","0.257"
"pp","9606.ENSP00000357631 (pp) 9606.ENSP00000424417","false","pp","9606.ENSP00000357631 (pp) 9606.ENSP00000424417","0.0","0.0","0.0","0.84","0.0",,"0.0","0.84","0.0"
"pp","9606.ENSP00000335261 (pp) 9606.ENSP00000355658","false","pp","9606.ENSP00000335261 (pp) 9606.ENSP00000355658","0.0","0.0","0.0","0.0","0.0",,"0.0","0.715","0.715"
"pp","9606.ENSP00000334246 (pp) 9606.ENSP00000360968","false","pp","9606.ENSP00000334246 (pp) 9606.ENSP00000360968","0.776","0.064","0.0","0.0","0.0",,"0.0","0.788","0.072"
"pp","9606.ENSP00000415243 (pp) 9606.ENSP00000447297","false","pp","9606.ENSP00000415243 (pp) 9606.ENSP00000447297","0.125","0.0","0.0","0.36","0.0",,"0.0","0.736","0.567"
"pp","9606.ENSP00000415416 (pp) 9606.ENSP00000451828","false","pp","9606.ENSP00000415416 (pp) 9606.ENSP00000451828","0.042","0.0","0.9","0.651","0.003",,"0.0","0.998","0.965"
"pp","9606.ENSP00000415416 (pp) 9606.ENSP00000500582","false","pp","9606.ENSP00000415416 (pp) 9606.ENSP00000500582","0.0","0.0","0.9","0.109","0.003",,"0.0","0.91","0.072"
"pp","9606.ENSP00000332771 (pp) 9606.ENSP00000376432","false","pp","9606.ENSP00000332771 (pp) 9606.ENSP00000376432","0.12","0.0","0.0","0.0","0.0",,"0.0","0.84","0.826"
"pp","9606.ENSP00000384334 (pp) 9606.ENSP00000423881","false","pp","9606.ENSP00000384334 (pp) 9606.ENSP00000423881","0.048","0.0","0.0","0.544","0.0",,"0.0","0.794","0.564"
"pp","9606.ENSP00000332592 (pp) 9606.ENSP00000384334","false","pp","9606.ENSP00000332592 (pp) 9606.ENSP00000384334","0.047","0.0","0.0","0.0","0.0",,"0.0","0.961","0.961"
"pp","9606.ENSP00000331172 (pp) 9606.ENSP00000386559","false","pp","9606.ENSP00000331172 (pp) 9606.ENSP00000386559","0.819","0.0","0.9","0.691","0.0",,"0.0","0.999","0.892"
"pp","9606.ENSP00000329757 (pp) 9606.ENSP00000362036","false","pp","9606.ENSP00000329757 (pp) 9606.ENSP00000362036","0.596","0.0","0.0","0.0","0.0",,"0.057","0.713","0.306"
"pp","9606.ENSP00000328818 (pp) 9606.ENSP00000375986","false","pp","9606.ENSP00000328818 (pp) 9606.ENSP00000375986","0.0","0.0","0.0","0.0","0.0",,"0.0","0.761","0.761"
"pp","9606.ENSP00000357301 (pp) 9606.ENSP00000369017","false","pp","9606.ENSP00000357301 (pp) 9606.ENSP00000369017","0.0","0.0","0.65","0.0","0.0",,"0.0","0.906","0.744"
